train_loss,epoch,step,valloss,testloss
16.12213706970215,0,14,,
,0,18,5.039857864379883,
6.6185622215271,1,29,,
,1,37,6.251437187194824,
5.198295593261719,2,44,,
,2,56,4.968506336212158,
6.4276275634765625,3,59,,
6.067553520202637,3,74,,
,3,75,5.048232078552246,
2.889418125152588,4,89,,
,4,94,5.001930236816406,
4.209073066711426,5,104,,
,5,113,4.92274808883667,
7.205503940582275,6,119,,
,6,132,5.0757904052734375,
5.694146156311035,7,134,,
5.903544902801514,7,149,,
,7,151,4.950754165649414,
4.319872856140137,8,164,,
,8,170,4.910828590393066,
4.815342426300049,9,179,,
,9,189,5.005247592926025,
5.405142784118652,10,194,,
,10,208,5.021459102630615,
3.350299119949341,11,209,,
5.339501857757568,11,224,,
,11,227,4.997689247131348,
5.48356819152832,12,239,,
,12,246,4.925723552703857,
4.10939359664917,13,254,,
,13,265,4.914629936218262,
6.616491794586182,14,269,,
3.5459113121032715,14,284,,
,14,284,4.899991989135742,
6.310743808746338,15,299,,
,15,303,4.905869483947754,
5.508632183074951,16,314,,
,16,322,4.884469985961914,
3.719120502471924,17,329,,
,17,341,5.257922649383545,
6.594226837158203,18,344,,
3.9930012226104736,18,359,,
,18,360,5.10896635055542,
3.4527554512023926,19,374,,
,19,379,4.894718647003174,
4.3179755210876465,20,389,,
,20,398,4.9257378578186035,
4.377942085266113,21,404,,
,21,417,5.035589218139648,
4.524913311004639,22,419,,
4.23345947265625,22,434,,
,22,436,4.885840892791748,
3.217665910720825,23,449,,
,23,455,5.031925201416016,
3.435337781906128,24,464,,
,24,474,4.871355056762695,
4.367476463317871,25,479,,
,25,493,5.297369480133057,
3.52189564704895,26,494,,
3.0682127475738525,26,509,,
,26,512,4.875484943389893,
3.4591667652130127,27,524,,
,27,531,4.875182628631592,
4.1035637855529785,28,539,,
,28,550,4.899796962738037,
3.813875913619995,29,554,,
4.472099304199219,29,569,,
,29,569,4.825148582458496,
5.666425704956055,30,584,,
,30,588,5.550463676452637,
3.6172242164611816,31,599,,
